"","location_name","total_population","total_commuters","less_than_5_min","5_to_9_min","10_to_14_min","15_to_19_min","20_to_24_min","25_to_29_min","30_to_34_min","35_to_39_min","40_to_44_min","45_to_59_min","60_to_89_min","90_or_more_min","state","puma","median_commuter_number","median_commute_bins","median_commute_bin_number","percent_more_than_hour","percent_more_than_90"
"39","Norfolk County (Southwest)--Greater Franklin Town City PUMA, Massachusetts",132739,65244,1784,4992,5270,4858,6399,3197,8323,2709,3475,9391,10282,4564,"25","03601",32622,"30_to_34_min",10,23,7
"29","Middlesex (Far Southwest), Norfolk (Northwest) & Worcester (Far East) Counties PUMA; Massachusetts",123299,61923,854,4244,4512,6736,6586,5360,7243,2038,2960,7567,10008,3815,"25","02400",30962,"30_to_34_min",10,22,6
"41","Norfolk County (Northeast)--Quincy City & Milton Town PUMA, Massachusetts",121039,61960,657,2762,4502,5936,6987,2754,9671,2619,3844,9499,9782,2947,"25","03603",30980,"30_to_34_min",10,21,5
"36","Suffolk County (North)--Revere, Chelsea & Winthrop Town Cities PUMA; Massachusetts",111969,56696,668,2286,6534,5394,7556,2133,9382,2730,3355,6900,7695,2063,"25","03306",28348,"30_to_34_min",10,17,4
"9","Worcester & Middlesex Counties (Outside Leominster, Fitchburg & Gardner Cities) PUMA; Massachusetts",111862,54040,1065,3389,5622,6554,5125,2872,8296,1527,2397,8481,6946,1766,"25","00400",27020,"30_to_34_min",10,16,3
"34","Boston City--Mattapan & Roxbury PUMA, Massachusetts",136191,57862,573,2390,4512,5778,7610,2483,13827,1446,2527,7174,6908,2634,"25","03304",28932,"30_to_34_min",10,16,5
"40","Norfolk County (Central)--Randolph, Norwood, Dedham, Canton & Holbrook Towns PUMA; Massachusetts",120853,59967,1098,3017,5714,6461,8414,2907,8879,2203,3182,8394,7981,1717,"25","03602",29984,"30_to_34_min",10,16,3
"43","Plymouth & Norfolk Counties--Brockton City, Stoughton & Avon Towns PUMA; Massachusetts",128723,60264,425,6104,8296,6349,7900,2797,8517,832,2933,6643,7129,2339,"25","04000",30132,"25_to_29_min",9,16,4
"10","Middlesex County (Outside Lowell City) PUMA, Massachusetts",116351,59607,514,4703,5632,6683,7586,4448,9112,2233,3029,7015,6136,2516,"25","00501",29804,"30_to_34_min",10,15,4
"17","Middlesex County (East)--Malden & Medford Cities PUMA, Massachusetts",118043,63873,369,2170,4615,5879,7114,2741,14273,1730,3920,11218,7938,1906,"25","00508",31937,"30_to_34_min",10,15,3
"24","Middlesex (West Central) & Worcester (East) Counties PUMA, Massachusetts",127003,59086,1659,4993,4772,5732,5876,3701,7544,3078,4889,7816,6446,2580,"25","01400",29544,"30_to_34_min",10,15,4
"13","Middlesex County (South)--Framingham Town, Marlborough City & Natick Town PUMA; Massachusetts",147410,79256,860,5933,8082,11366,7900,4879,11658,4122,4511,10334,7730,1881,"25","00504",39628,"30_to_34_min",10,12,2
"35","Boston City--Hyde Park, Jamaica Plain, Roslindale & West Roxbury PUMA; Massachusetts",138867,72717,982,3184,4924,6463,7837,5449,14876,3057,5592,11361,7107,1885,"25","03305",36359,"30_to_34_min",10,12,3
"38","Norfolk (Northeast) & Middlesex (Southeast) Counties (West of Boston City) PUMA, Massachusetts",113021,44673,882,4492,5292,4676,3575,2218,5803,1642,2136,8765,4014,1178,"25","03500",22337,"30_to_34_min",10,12,3
"16","Middlesex County (East)--Somerville & Everett Cities PUMA, Massachusetts",127664,78653,1022,1981,6328,8490,7822,6028,16900,5029,5738,11389,5827,2099,"25","00507",39327,"30_to_34_min",10,10,3
"33","Boston City--Dorchester & South Boston PUMA, Massachusetts",129231,74428,1424,3693,5164,6088,12208,4938,16230,3144,5779,8021,6043,1696,"25","03303",37214,"30_to_34_min",10,10,2
"14","Middlesex County--Watertown Town City, Arlington, Belmont & Winchester Towns PUMA; Massachusetts",129353,66155,749,4095,6475,5953,10792,3951,10689,3584,4553,9052,5527,735,"25","00505",33078,"30_to_34_min",10,9,1
"37","Middlesex (Southeast) & Norfolk (Northeast) Counties--Newton City & Brookline Town PUMA, Massachusetts",148172,69855,1893,4023,6772,7579,8374,4971,13242,3097,4793,9151,5242,718,"25","03400",34928,"30_to_34_min",10,9,1
"31","Boston City--Allston, Brighton & Fenway PUMA; Massachusetts",111437,56015,1394,4983,5971,7248,6565,3689,9943,2015,2961,6253,4071,922,"25","03301",28008,"25_to_29_min",9,9,2
"11","Middlesex County (Far Northeast)--Lowell City PUMA, Massachusetts",110572,54328,839,4009,8276,9283,9485,2355,6368,1536,2610,4425,3912,1230,"25","00502",27164,"20_to_24_min",8,9,2
"12","Middlesex County--Waltham City, Lexington, Burlington, Bedford & Lincoln Towns PUMA; Massachusetts",145978,73333,2011,6052,9741,9966,9157,4049,11558,2720,5114,6649,4983,1333,"25","00503",36667,"20_to_24_min",8,9,2
"15","Middlesex County (East)--Cambridge City PUMA, Massachusetts",110644,58382,1281,3701,6467,9488,7615,3649,10483,2175,3843,5822,3143,715,"25","00506",29192,"25_to_29_min",9,7,1
"32","Boston City--Back Bay, Beacon Hill, Charlestown, East Boston, Central & South End PUMA; Massachusetts",156535,89801,2961,6025,8548,13567,14104,7115,16633,4163,3418,7021,5147,1099,"25","03302",44901,"20_to_24_min",8,7,1
