"","location_name","total_population","total_commuters","less_than_5_min","5_to_9_min","10_to_14_min","15_to_19_min","20_to_24_min","25_to_29_min","30_to_34_min","35_to_39_min","40_to_44_min","45_to_59_min","60_to_89_min","90_or_more_min","state","puma","median_commuter_number","median_commute_bins","median_commute_bin_number","percent_more_than_hour","percent_more_than_90"
"86","Chicago City (South)--South Chicago, Pullman, West Pullman, East Side & South Deering PUMA; Illinois",131070,48010,285,1225,3440,4420,3122,1214,8633,869,2386,8994,9595,3827,"17","03532",24006,"40_to_44_min",12,28,8
"82","Chicago City (South)--Chicago Lawn, Englewood/West Englewood & Greater Grand Crossing PUMA; Illinois",137667,45528,367,1534,1912,3117,7230,1554,7363,1485,2970,7465,7785,2746,"17","03528",22764,"30_to_34_min",10,23,6
"75","Chicago City (West)--Austin, Belmont Cragin & Montclare PUMA; Illinois",180744,76222,177,1276,2279,5654,7300,3934,18928,1535,4662,13831,13151,3495,"17","03521",38112,"30_to_34_min",10,22,5
"85","Chicago City (South)--Auburn Gresham, Roseland, Chatham, Avalon Park & Burnside PUMA; Illinois",129529,43510,94,422,2024,3228,5177,2365,7693,1445,3615,8587,6591,2269,"17","03531",21756,"35_to_39_min",11,20,5
"60","Cook County (Southeast)--Thornton Township PUMA, Illinois",167812,68702,1030,2909,7014,8097,7623,2805,9955,1669,4610,9098,10942,2950,"17","03413",34352,"30_to_34_min",10,20,4
"77","Chicago City (West)--North & South Lawndale, Humboldt Park, East & West Garfield Park PUMA; Illinois",209402,75150,789,1645,5150,5821,9097,3429,16568,1251,4148,12197,11641,3414,"17","03523",37576,"30_to_34_min",10,20,5
"83","Chicago City (South)--South Shore, Hyde Park, Woodlawn, Grand Boulevard & Douglas PUMA; Illinois",179090,71003,901,2794,5105,5185,9119,3150,13902,1698,5275,9912,9682,4280,"17","03529",35502,"30_to_34_min",10,20,6
"35","Kane County (West) PUMA, Illinois",122095,51648,1024,3167,3854,4594,7068,2729,7358,2086,2884,7054,8272,1558,"17","03009",25824,"30_to_34_min",10,19,3
"38","Will County (Northwest)--DuPage & Wheatland Townships PUMA, Illinois",173381,81854,1748,5076,8814,7612,9201,4680,12652,2543,3877,10218,10638,4795,"17","03106",40928,"30_to_34_min",10,19,6
"39","Will County (Northeast)--Frankfort, Homer & New Lenox (North) Townships PUMA; Illinois",126326,64380,1093,6151,5013,5813,7458,4391,8279,2651,3070,7989,9109,3363,"17","03107",32190,"30_to_34_min",10,19,5
