"","location_name","total_population","total_commuters","less_than_5_min","5_to_9_min","10_to_14_min","15_to_19_min","20_to_24_min","25_to_29_min","30_to_34_min","35_to_39_min","40_to_44_min","45_to_59_min","60_to_89_min","90_or_more_min","urban_area","median_commuter_number","median_commute_bins","median_commute_bin_number","percent_more_than_hour","percent_more_than_90"
"393","Tracy, CA Urbanized Area (2010)",92140,39782,1104,3549,4517,1837,2737,435,3991,344,655,5073,9115,6425,"88273",19892,"45_to_59_min",13,39,16
"412","Waldorf, MD Urbanized Area (2010)",115978,57772,656,2622,4939,6647,4332,1160,6201,1825,2157,9332,11915,5986,"91261",28886,"40_to_44_min",12,31,10
"20","Antioch, CA Urbanized Area (2010)",304063,128865,1877,7020,13541,13927,8675,4537,14522,2769,6712,16334,21941,17010,"02683",64433,"35_to_39_min",11,30,13
"210","Lancaster--Palmdale, CA Urbanized Area (2010)",353643,121415,1114,8292,16745,21798,14383,2397,5212,849,3032,12203,22379,13011,"47611",60708,"20_to_24_min",8,29,11
"266","Murrieta--Temecula--Menifee, CA Urbanized Area (2010)",493787,193432,2101,11584,22549,23666,20430,6472,19522,6029,7683,20242,34298,18856,"60799",96716,"30_to_34_min",10,27,10
"138","Fredericksburg, VA Urbanized Area (2010)",157583,71841,1504,4655,9838,9710,8641,3516,3829,2259,2726,6637,10474,8052,"31600",35921,"25_to_29_min",9,26,11
"399","Twin Rivers--Hightstown, NJ Urbanized Area (2010)",70902,32854,959,1771,3001,4545,3337,1368,3702,1622,1562,3199,4060,3728,"89263",16428,"30_to_34_min",10,24,11
"86","Concord, CA Urbanized Area (2010)",666866,299837,4663,21711,33670,35700,34604,14252,29988,9975,12622,33410,48411,20831,"19504",149919,"30_to_34_min",10,23,7
"165","Hemet, CA Urbanized Area (2010)",184423,58344,1602,5271,8151,5773,5343,2476,6126,2060,2187,6052,7849,5454,"38215",29172,"30_to_34_min",10,23,9
"407","Victorville--Hesperia, CA Urbanized Area (2010)",340982,109640,2454,9847,14167,13500,12761,3363,8470,3679,3231,12739,14406,11023,"90541",54820,"25_to_29_min",9,23,10
"277","New York--Newark, NY--NJ--CT Urbanized Area (2010)",18954313,8663954,122153,468786,739812,848436,948650,440211,1300055,273833,519440,1101008,1319545,582025,"63217",4331978,"30_to_34_min",10,22,7
"405","Vallejo, CA Urbanized Area (2010)",175022,78313,1234,5230,8313,8902,8651,4702,10277,2287,2374,8909,12116,5318,"90028",39157,"30_to_34_min",10,22,7
"244","Manteca, CA Urbanized Area (2010)",90106,36652,947,3086,4774,5201,5608,2494,3233,410,885,1835,3765,4414,"54145",18326,"20_to_24_min",8,22,12
"143","Gilroy--Morgan Hill, CA Urbanized Area (2010)",110039,50841,1291,4572,7293,5834,2668,1237,5195,2614,2480,6925,7692,3040,"33328",25421,"30_to_34_min",10,21,6
"351","Santa Clarita, CA Urbanized Area (2010)",266721,120670,1810,7277,13707,13921,11757,4755,13734,3467,5393,19939,17021,7889,"79309",60336,"30_to_34_min",10,21,7
"137","Frederick, MD Urbanized Area (2010)",154380,77360,1669,6608,11186,13305,7503,2747,5297,1971,2722,8756,10984,4612,"31519",38680,"20_to_24_min",8,20,6
"422","Westminster--Eldersburg, MD Urbanized Area (2010)",66403,32648,532,2576,3294,2938,2462,2147,3187,1146,1657,6539,3741,2429,"94294",16324,"30_to_34_min",10,19,7
"123","Fairfield, CA Urbanized Area (2010)",145455,64771,1904,4955,11365,9373,6154,2530,5598,1284,2803,6256,8397,4152,"28657",32386,"20_to_24_min",8,19,6
"311","Poughkeepsie--Newburgh, NY--NJ Urbanized Area (2010)",434846,193937,3442,15513,26738,23950,19414,10450,25833,4782,8344,19613,19499,16359,"71803",96969,"25_to_29_min",9,18,8
"381","Stockton, CA Urbanized Area (2010)",395975,144028,3145,14528,20316,24100,21884,7304,16572,985,2592,7187,12332,13083,"85087",72014,"20_to_24_min",8,18,9
"297","Petaluma, CA Urbanized Area (2010)",67123,30468,1287,2874,4951,3006,2791,2028,4277,459,1028,2532,3898,1337,"68887",15234,"25_to_29_min",9,17,4
"323","Riverside--San Bernardino, CA Urbanized Area (2010)",2073652,832126,11127,55862,91696,119392,115055,44437,128931,23697,35172,67322,79267,60168,"75340",416064,"25_to_29_min",9,17,7
"225","Livermore, CA Urbanized Area (2010)",89475,44292,797,4084,7088,5733,4908,2229,4395,1247,2169,4000,4762,2880,"50527",22146,"20_to_24_min",8,17,7
"379","Spring Hill, FL Urbanized Area (2010)",162074,52052,1119,4657,6767,9403,7458,1664,6288,823,1310,3771,5819,2973,"84024",26026,"20_to_24_min",8,17,6
"414","Washington, DC--VA--MD Urbanized Area (2010)",4983485,2520260,25477,117965,194898,274124,309580,155452,411051,107200,160594,356646,314874,92399,"92242",1260130,"30_to_34_min",10,16,4
"157","Hammond, LA Urbanized Area (2010)",77310,30424,842,4396,4206,4480,2947,754,1703,796,471,4917,3407,1505,"36514",15212,"20_to_24_min",8,16,5
"345","San Francisco--Oakland, CA Urbanized Area (2010)",3529790,1670682,17881,81781,156256,209036,210361,95521,276645,61490,96256,216549,190856,58050,"78904",835342,"30_to_34_min",10,15,3
"54","Bridgeport--Stamford, CT--NY Urbanized Area (2010)",948116,437342,9623,40532,62958,69109,60316,25696,48807,8080,17004,30835,37614,26768,"10162",218672,"20_to_24_min",8,15,6
"93","Danbury, CT--NY Urbanized Area (2010)",174978,86742,1709,8665,12659,14850,9715,3957,8053,2123,2953,9196,9664,3198,"22096",43372,"20_to_24_min",8,15,4
"124","Fajardo, PR Urbanized Area (2010)",79513,22131,658,1503,2537,4893,3184,973,2560,249,1086,1133,1958,1397,"28981",11066,"20_to_24_min",8,15,6
"220","Leominster--Fitchburg, MA Urbanized Area (2010)",113216,54548,1550,6660,9077,5907,4342,3411,5803,1459,2541,5609,5996,2193,"49096",27274,"20_to_24_min",8,15,4
"305","Port Huron, MI Urbanized Area (2010)",86053,35868,1465,5378,7387,5606,3205,1234,1873,342,1374,2615,4134,1255,"71155",17934,"15_to_19_min",7,15,3
"25","Atlanta, GA Urbanized Area (2010)",4970669,2259159,28248,138816,221744,274475,304417,129610,359508,89976,114514,279510,234641,83700,"03817",1129580,"30_to_34_min",10,14,4
"50","Boston, MA--NH--RI Urbanized Area (2010)",4406447,2214724,43193,154365,231723,260952,272690,125149,342558,83251,119085,270922,237150,73686,"09271",1107362,"30_to_34_min",10,14,3
"73","Chicago, IL--IN Urbanized Area (2010)",8660237,4004221,57168,252147,398036,471725,491593,241727,632856,152089,241495,494282,436761,134342,"16264",2002111,"30_to_34_min",10,14,3
"348","San Juan, PR Urbanized Area (2010)",1979626,635352,11151,37164,58612,92159,87350,30648,114985,14575,27907,69705,70889,20207,"79093",317676,"30_to_34_min",10,14,3
"370","Slidell, LA Urbanized Area (2010)",94136,41986,1204,4685,5075,5321,2872,1112,6322,1573,1890,6263,4350,1319,"82468",20994,"30_to_34_min",10,14,3
"245","Marysville, WA Urbanized Area (2010)",156645,73947,797,4838,6255,9508,12821,5154,11336,1949,2999,7912,7839,2539,"55333",36974,"25_to_29_min",9,14,3
"88","Conroe--The Woodlands, TX Urbanized Area (2010)",296297,129976,2140,11010,18125,24609,16858,6973,13082,2771,4161,11959,15698,2590,"19755",64988,"20_to_24_min",8,14,2
"189","Juana Diaz, PR Urbanized Area (2010)",71765,19820,594,2096,2329,2894,2442,1063,4357,274,488,594,1858,831,"43453",9910,"20_to_24_min",8,14,4
"159","Hanover, PA Urbanized Area (2010)",67824,29668,892,5810,3966,4599,2838,841,2410,544,1134,2349,2616,1669,"36784",14834,"15_to_19_min",7,14,6
"403","Vacaville, CA Urbanized Area (2010)",98354,43715,1080,4749,8595,7452,5352,1627,2490,1258,1383,3735,3126,2868,"89866",21858,"15_to_19_min",7,14,7
"330","Round Lake Beach--McHenry--Grayslake, IL--WI Urbanized Area (2010)",291309,142065,3149,11119,14161,14499,16369,8604,20213,6395,10158,18883,14698,3817,"76474",71033,"30_to_34_min",10,13,3
"232","Los Angeles--Long Beach--Anaheim, CA Urbanized Area (2010)",12615510,5684091,61937,323835,611338,782530,805948,320995,1016124,158211,284213,566760,542919,209281,"51445",2842046,"25_to_29_min",9,13,4
"53","Bremerton, WA Urbanized Area (2010)",210368,93285,1184,6462,12901,17846,15487,5096,11926,2015,4043,3733,5782,6810,"09946",46643,"20_to_24_min",8,13,7
"156","Hagerstown, MD--WV--PA Urbanized Area (2010)",191322,81971,2023,7306,12345,14768,9554,6135,8594,2436,3344,5159,4877,5430,"36190",40986,"20_to_24_min",8,13,7
"428","Winchester, VA Urbanized Area (2010)",70819,31996,1197,3231,6403,6537,5476,573,1859,240,317,1997,2554,1612,"96103",15998,"15_to_19_min",7,13,5
"101","Deltona, FL Urbanized Area (2010)",201009,80761,1363,6829,7902,9195,9869,3043,16015,3703,2123,10902,7393,2424,"23311",40381,"30_to_34_min",10,12,3
"298","Philadelphia, PA--NJ--DE--MD Urbanized Area (2010)",5555493,2514002,48749,185807,278813,317155,355243,170448,374149,89851,133988,269975,211466,78358,"69076",1257002,"25_to_29_min",9,12,3
"310","Pottstown, PA Urbanized Area (2010)",109908,53022,1739,4062,5906,6174,6554,3172,6648,2489,2945,6967,5182,1184,"71749",26512,"25_to_29_min",9,12,2
"361","Seattle, WA Urbanized Area (2010)",3387102,1639616,25904,101472,172009,217020,227957,117994,253636,59571,86393,185958,138702,53000,"80389",819808,"25_to_29_min",9,12,3
"367","Simi Valley, CA Urbanized Area (2010)",127137,63511,1366,6325,9214,7183,7144,3834,8620,3008,4765,4693,5123,2236,"82144",31756,"25_to_29_min",9,12,4
"401","Urban Honolulu, HI Urbanized Area (2010)",837906,409514,7075,27875,47651,56705,57075,23714,73260,10210,19745,37989,35741,12474,"89770",204758,"25_to_29_min",9,12,3
"22","Arecibo, PR Urbanized Area (2010)",125675,33604,463,582,3209,5172,8781,2959,4512,841,1586,1336,2443,1720,"03034",16802,"20_to_24_min",8,12,5
"242","Mandeville--Covington, LA Urbanized Area (2010)",99919,43864,576,4649,7235,6944,5100,1546,4179,856,1776,5804,3568,1631,"53794",21932,"20_to_24_min",8,12,4
"259","Modesto, CA Urbanized Area (2010)",376356,139118,3334,15473,23285,21048,20143,5748,14782,3239,5001,10327,5470,11268,"58006",69560,"20_to_24_min",8,12,8
"271","Nashua, NH--MA Urbanized Area (2010)",229593,121221,4017,10699,15547,16955,15352,9865,15908,3404,4597,10031,10370,4476,"61165",60611,"20_to_24_min",8,12,4
"352","Santa Cruz, CA Urbanized Area (2010)",170825,77131,3124,12024,13354,10538,9856,2322,5937,1719,2318,6742,5878,3319,"79336",38566,"15_to_19_min",7,12,4
"372","South Lyon--Howell, MI Urbanized Area (2010)",123210,61351,2087,5314,6168,6956,6437,3257,6584,2914,4328,10587,5589,1130,"83332",30676,"30_to_34_min",10,11,2
"2","Aberdeen--Bel Air South--Bel Air North, MD Urbanized Area (2010)",215810,102831,2017,8721,11827,12533,12190,5806,13540,4119,5326,15476,7657,3619,"00199",51416,"25_to_29_min",9,11,4
"30","Avondale--Goodyear, AZ Urbanized Area (2010)",221256,93193,1465,4829,11858,10524,13103,5215,15095,2948,5197,12533,8304,2122,"04549",46597,"25_to_29_min",9,11,2
"32","Baltimore, MD Urbanized Area (2010)",2292343,1099447,11808,60012,111471,157166,164524,80976,171760,44603,53323,117560,88222,38022,"04843",549724,"25_to_29_min",9,11,3
"172","Houston, TX Urbanized Area (2010)",5607133,2531009,36615,155738,249976,331823,346659,160307,453694,103820,131191,293720,205909,61557,"40429",1265505,"25_to_29_min",9,11,2
