"","location_name","total_population","total_commuters","less_than_5_min","5_to_9_min","10_to_14_min","15_to_19_min","20_to_24_min","25_to_29_min","30_to_34_min","35_to_39_min","40_to_44_min","45_to_59_min","60_to_89_min","90_or_more_min","state","puma","median_commuter_number","median_commute_bins","median_commute_bin_number","percent_more_than_hour","percent_more_than_90"
"104","Houston-Galveston Area Council--Liberty & Chambers Counties PUMA, Texas",121603,45168,944,3303,7021,4358,4620,1281,5181,1401,2059,5116,7014,2870,"48","04400",22584,"30_to_34_min",10,22,6
"107","Houston-Galveston Area Council--Montgomery County (South)--The Woodlands (North) PUMA, Texas",119524,48845,1156,3965,8280,9245,4325,2392,4167,935,825,3983,8490,1082,"48","04503",24423,"20_to_24_min",8,20,2
"140","Harris County (Far Northwest)--Katy City (Northeast) PUMA, Texas",159943,72469,1208,3790,5286,4846,5989,4081,11210,2613,5451,14386,10333,3276,"48","04632",36235,"30_to_34_min",10,19,5
"106","Houston-Galveston Area Council--Montgomery County (West)--Conroe City (West) PUMA, Texas",143967,65486,1109,3651,6149,9835,5784,2216,10225,2415,4673,8271,7124,4034,"48","04502",32744,"30_to_34_min",10,17,6
"141","Harris County (Northwest)--South of US-290 & West of TX-6 PUMA, Texas",115914,54126,648,1916,2967,6179,3104,3241,9985,2582,4401,10429,7262,1412,"48","04633",27064,"30_to_34_min",10,16,3
"143","Houston City (West)--South of I-10 & West of TX-6 PUMA, Texas",111749,49990,736,3998,7102,3734,4252,3068,7523,2079,1355,8059,6019,2065,"48","04635",24996,"30_to_34_min",10,16,4
"138","Harris County (Far North)--Tomball City & The Woodlands (Southwest) PUMA, Texas",128913,55522,1050,3672,2990,7565,6630,5685,6614,2894,2331,8011,6641,1439,"48","04630",27762,"30_to_34_min",10,15,3
"150","Houston-Galveston Area Council--Brazoria County (Central)--Alvin City PUMA, Texas",120808,48704,702,3013,4450,4580,5151,3337,8051,2302,3095,6953,5224,1846,"48","04802",24352,"30_to_34_min",10,15,4
"105","Houston-Galveston Area Council--Montgomery County (Northeast)--Conroe City (East) PUMA, Texas",157969,63076,853,2959,5734,9944,6553,3320,12574,1051,2689,8696,6779,1924,"48","04501",31538,"30_to_34_min",10,14,3
"132","Harris County (Northeast)--Houston City (Far Northeast) PUMA, Texas",122664,54790,884,3060,4609,5639,5220,3343,9993,2547,1660,9999,6684,1152,"48","04624",27396,"30_to_34_min",10,14,2
"142","Harris County (West)--Houston City (West)--North of US-90 & West of TX-6 PUMA, Texas",106644,52485,591,2939,3033,5000,7848,2383,9441,3324,2026,8303,6596,1001,"48","04634",26243,"30_to_34_min",10,14,2
"115","Houston City (Northeast)--Between Loop I-610 & Beltway TX-8 PUMA, Texas",123295,47071,571,2262,2917,4015,6675,3418,8792,3093,2974,6346,4817,1191,"48","04607",23536,"30_to_34_min",10,13,3
"133","Harris County (North)--Houston (North), Humble Cities & Atascocita PUMA; Texas",124996,56779,335,3815,2718,7346,8351,2793,8784,1817,2745,10776,5426,1873,"48","04625",28390,"30_to_34_min",10,13,3
"134","Harris County (North)--Houston City (North)--I-45, Between Beltway TX-8 & FM-1960 PUMA; Texas",149025,66056,704,3999,5198,7059,7728,4956,12427,2049,4770,8778,6484,1904,"48","04626",33028,"30_to_34_min",10,13,3
"135","Harris County (Far North)--Spring PUMA, Texas",128487,59971,414,2057,5933,7702,7180,3584,11984,2276,3750,7521,5844,1726,"48","04627",29986,"30_to_34_min",10,13,3
"139","Harris County (Northwest)--North of US-290 & North of FM-1960 PUMA, Texas",127816,57070,1148,3477,6098,7080,5165,4232,7763,4052,4076,6280,6648,1051,"48","04631",28536,"30_to_34_min",10,13,2
"127","Houston (Southeast) & South Houston Cities--Inside Beltway TX-8 PUMA, Texas",118133,55510,936,3813,6113,8788,7005,3041,10643,2172,2073,3772,5354,1800,"48","04619",27756,"25_to_29_min",9,13,3
"157","Houston-Galveston Area Council (West) PUMA, Texas",179814,77128,6593,14293,10321,9928,7575,4156,6441,870,1589,5425,7369,2568,"48","05000",38564,"15_to_19_min",7,13,3
"136","Harris County (Northwest)--Jersey Village City--Between Beltway TX-8 & FM-1960 PUMA, Texas",109885,56602,892,2851,5323,6019,8619,2734,10201,2473,3864,6894,5324,1408,"48","04628",28302,"30_to_34_min",10,12,2
"125","Houston City (South)--Between Loop I-610 & Beltway TX-8 PUMA, Texas",123358,50409,494,1802,3883,6784,10128,2439,11605,1631,1632,3928,4445,1638,"48","04617",25205,"25_to_29_min",9,12,3
"126","Houston City (Southeast)--West of Pasadena City & Outside Loop I-610 PUMA, Texas",104871,41633,457,2229,5301,5285,7008,1681,7685,1009,1441,4535,3389,1613,"48","04618",20817,"25_to_29_min",9,12,4
"137","Harris County (North)--North of FM-1960, West of I-45 & East of TX-249 PUMA; Texas",132806,60956,1857,4584,4446,6912,9739,3662,8269,2605,3210,8568,5942,1162,"48","04629",30478,"25_to_29_min",9,12,2
"116","Houston City (North) & Aldine--Between Loop I-610 & Beltway TX-8 PUMA, Texas",109111,39168,1079,2176,3089,3419,4315,2236,11841,564,1928,4326,2553,1642,"48","04608",19584,"30_to_34_min",10,11,4
"118","Houston City (North)--West of Aldine & Inside Beltway TX-8 PUMA, Texas",107723,46850,202,1737,4146,4102,7535,2997,11092,916,2878,5971,4524,750,"48","04610",23426,"30_to_34_min",10,11,2
"149","Houston-Galveston Area Council--Brazoria County (North)--Pearland City PUMA, Texas",124159,61773,1147,3414,3105,5065,5140,4213,10111,2492,8025,12446,5242,1373,"48","04801",30887,"30_to_34_min",10,11,2
"108","Houston-Galveston Area Council--Montgomery County (Southeast) PUMA, Texas",134743,58906,668,4472,6556,6230,9922,2296,7572,2372,2958,9136,4734,1990,"48","04504",29454,"25_to_29_min",9,11,3
"128","Houston (Southeast) & Webster Cities PUMA, Texas",119778,57790,1195,5255,7611,5061,11152,2943,7951,3351,2244,4765,4182,2080,"48","04620",28896,"20_to_24_min",8,11,4
"129","Houston (Southeast), Pasadena (Southeast), La Porte (South) & Seabrook (East) Cities PUMA; Texas",107583,49414,1142,5697,5850,7513,6626,1931,7258,2111,1594,4386,4152,1154,"48","04621",24708,"20_to_24_min",8,11,2
