"","location_name","total_population","total_commuters","less_than_5_min","5_to_9_min","10_to_14_min","15_to_19_min","20_to_24_min","25_to_29_min","30_to_34_min","35_to_39_min","40_to_44_min","45_to_59_min","60_to_89_min","90_or_more_min","state","puma","median_commuter_number","median_commute_bins","median_commute_bin_number","percent_more_than_hour","percent_more_than_90"
"39","Norfolk County (Southwest)--Greater Franklin Town City PUMA, Massachusetts",132739,65244,1784,4992,5270,4858,6399,3197,8323,2709,3475,9391,10282,4564,"25","03601",32622,"30_to_34_min",10,23,7
"29","Middlesex (Far Southwest), Norfolk (Northwest) & Worcester (Far East) Counties PUMA; Massachusetts",123299,61923,854,4244,4512,6736,6586,5360,7243,2038,2960,7567,10008,3815,"25","02400",30962,"30_to_34_min",10,22,6
"41","Norfolk County (Northeast)--Quincy City & Milton Town PUMA, Massachusetts",121039,61960,657,2762,4502,5936,6987,2754,9671,2619,3844,9499,9782,2947,"25","03603",30980,"30_to_34_min",10,21,5
"42","Weymouth Town, Braintree Town Cities, Hingham, Hull & Cohasset Towns PUMA; Massachusetts",135435,64163,1153,4723,6369,5251,7806,2786,8184,1543,3127,9939,9802,3480,"25","03900",32082,"30_to_34_min",10,21,5
"53","Plymouth County (East)--Plymouth, Marshfield, Scituate, Duxbury & Kingston Towns PUMA; Massachusetts",135760,64067,2161,7482,7904,6634,8626,2389,5536,2051,1670,6159,9023,4432,"25","04903",32034,"20_to_24_min",8,21,7
"52","Plymouth County (Central) PUMA, Massachusetts",117321,60784,561,4325,6447,7213,5985,3044,9240,2293,3083,6489,7628,4476,"25","04902",30392,"30_to_34_min",10,20,7
"20","Essex County (East)--Salem, Beverly, Gloucester & Newburyport Cities PUMA; Massachusetts",202512,98799,3502,12709,15080,10317,10513,4590,8562,1825,3553,8390,15114,4644,"25","00703",49400,"20_to_24_min",8,20,5
"19","Essex County (Central)--Amesbury Town City PUMA, Massachusetts",114393,53337,890,2538,5496,8175,6862,2311,5549,2086,3438,6451,6849,2692,"25","00702",26669,"30_to_34_min",10,18,5
"36","Suffolk County (North)--Revere, Chelsea & Winthrop Town Cities PUMA; Massachusetts",111969,56696,668,2286,6534,5394,7556,2133,9382,2730,3355,6900,7695,2063,"25","03306",28348,"30_to_34_min",10,17,4
"51","Plymouth & Bristol Counties (Outside Brockton City) PUMA, Massachusetts",121405,61569,1890,3298,7020,5725,9710,3849,8386,1858,2608,6687,7734,2804,"25","04901",30785,"25_to_29_min",9,17,5
